player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
3477400%,A Ashish Reddy,Right hand Bat,Right arm Medium, ,Ammana Ashish Reddy,Ammana Ashish,
672700%,A Badoni,Right hand Bat,Right arm Offbreak, ,Ayush Badoni,Ayush Badoni,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270
3493100%,A Chandila,Right hand Bat,Right arm Offbreak, ,Ajit  Chandila,Ajit  Chandila,
1253500%,A Chopra,Right hand Bat,"Right arm Medium, Right arm Offbreak", ,Aakash Chopra,Aakash Chopra,
1100%,A Choudhary,Right hand Bat,Left arm Medium, ,Aniket Vinod Choudhary,Aniket Vinod,
155900%,A Dananjaya,Left hand Bat,"Right arm Offbreak, Legbreak", ,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,Mahamarakkala Kurukulasooriya,
1319800%,A Flintoff,Right hand Bat,Right arm Fast medium, ,Andrew Flintoff,Andrew Flintoff,
1136600%,A Kamboj,Right hand Bat,Right arm Medium,NULL,Anshul Kamboj,Anshul Kamboj,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428
1216000%,A Kumble,Right hand Bat,Legbreak Googly, ,Anil Kumble,Anil Kumble,
673900%,A Manohar,Right hand Bat,Legbreak Googly, ,Abhinav Manohar,Abhinav Manohar,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963
4260300%,A Mhatre,Right hand Bat,Right arm Offbreak,NULL,Ayush Mhatre,Ayush Mhatre,
18500%,A Mishra,Right hand Bat,Legbreak, ,Amit Mishra,Amit Mishra,
1398600%,A Mithun,Right hand Bat,Right arm Medium, ,Abhimanyu Mithun,Abhimanyu Mithun,
1302600%,A Mukund,Left hand Bat,Legbreak Googly, ,Abhinav Mukund,Abhinav Mukund,
2100%,A Nehra,Right hand Bat,Left arm Medium fast, ,Ashish Nehra,Ashish Nehra,
1301600%,A Nel,Right hand Bat,Right arm Fast medium, ,Andre Nel,Andre Nel,
404700%,A Nortje,Right hand Bat,Right arm Fast, ,Anrich Arno Nortje,Anrich Arno,
1029100%,A Raghuvanshi,Right hand Bat,Slow Left arm Orthodox,NULL,Angkrish Raghuvanshi,Angkrish Raghuvanshi,https://www.espncricinfo.com/cricketers/angkrish-raghuvanshi-1292495
1381000%,A Singh,Right hand Bat,Right arm Medium fast, ,Amit Singh,Amit Singh,
1201000%,A Symonds,Right hand Bat,"Right arm Medium, Right arm Offbreak", ,Andrew Symonds,Andrew Symonds,
809800%,A Tomar,Right hand Bat,Right arm Offbreak, ,Abhijeet Tomar,Abhijeet Tomar,
1448900%,A Uniyal,Left hand Bat,Left arm Medium, ,Amit Uniyal,Amit Uniyal,
4200%,A Zampa,Right hand Bat,Legbreak Googly, ,Adam Zampa,Adam Zampa,https://www.espncricinfo.com/cricketers/adam-zampa-379504
1349700%,AA Bilakhia,Right hand Bat,Right arm Medium, ,Azharuddin Anjum Bilakhia,Azharuddin Anjum,
3397200%,AA Chavan,Left hand Bat,Slow Left arm Orthodox, ,Ankeet Anil Chavan,Ankeet Anil,
